<<<<<<<<<<

1. НУ      : Vпр = 120 км/ч , Hа = 200 м , САУ : стаб Углов, Vпр
   Задание : отработка САУ перехода по Hа : 200м --> 600м

Thu Apr 05 14:13:48 2018
  iSOK Time_SPNM     xrK     xrT    rddr    aShG    ShNV     Ha       V      Vpr      Vy     kur        gam        tng        psi        tet        alf      bet     snos       wx       wy       wz      ax1      ay1      az1      Pst         q       Gp      Tnv      Trv     fig         lag      SO HH:MM:SS:MS

      1  916.700   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29277    0.09856    1.68841  358.66278    0.00255    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.2    355.0   42.6848857  39.9475904 0 00:15:16.700
      2  916.720   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29277    0.09857    1.68842  358.66278    0.00252    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.2    355.0   42.6848917  39.9475906 0 00:15:16.720
      3  916.740   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29277    0.09857    1.68842  358.66277    0.00249    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9683.1    355.0   42.6848978  39.9475908 0 00:15:16.740
      4  916.760   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29277    0.09858    1.68842  358.66277    0.00246    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.1    355.0   42.6849038  39.9475910 0 00:15:16.760
      5  916.780   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29277    0.09858    1.68842  358.66276    0.00243    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.1    355.0   42.6849098  39.9475912 0 00:15:16.780
      6  916.800   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09859    1.68843  358.66276    0.00240    1.681    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.1    355.0   42.6849158  39.9475913 0 00:15:16.800
      7  916.820   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09859    1.68843  358.66275    0.00237    1.682    2.633    0.013    0.000    0.000    0.000    0.290    9.802    0.005  742.153     68.7   9727.5   9683.1    355.0   42.6849219  39.9475915 0 00:15:16.820
      8  916.840   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09860    1.68843  358.66275    0.00234    1.682    2.633    0.013    0.000    0.000    0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849279  39.9475917 0 00:15:16.840
      9  916.860   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09860    1.68843  358.66274    0.00230    1.682    2.633    0.013    0.000    0.000    0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849339  39.9475919 0 00:15:16.860
     10  916.880   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09861    1.68843  358.66274    0.00227    1.682    2.633    0.013    0.000    0.000    0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849399  39.9475921 0 00:15:16.880
     11  916.900   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09861    1.68843  358.66273    0.00223    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849460  39.9475923 0 00:15:16.900
     12  916.920   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09861    1.68843  358.66273    0.00219    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849520  39.9475925 0 00:15:16.920
     13  916.940   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09862    1.68843  358.66272    0.00216    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.5   9682.9    355.0   42.6849580  39.9475927 0 00:15:16.940
     14  916.960   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09862    1.68843  358.66272    0.00212    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849640  39.9475929 0 00:15:16.960
     15  916.980   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09863    1.68843  358.66271    0.00208    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849701  39.9475931 0 00:15:16.980
     16  917.000   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09863    1.68842  358.66271    0.00204    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849761  39.9475933 0 00:15:17.000
     17  917.020   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09863    1.68842  358.66270    0.00201    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849821  39.9475935 0 00:15:17.020
     18  917.040   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09864    1.68842  358.66269    0.00197    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849881  39.9475937 0 00:15:17.040
     19  917.060   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09864    1.68842  358.66269    0.00193    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6849942  39.9475938 0 00:15:17.060
     20  917.080   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09864    1.68841  358.66268    0.00189    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6850002  39.9475940 0 00:15:17.080
     21  917.100   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09865    1.68841  358.66268    0.00185    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6850062  39.9475942 0 00:15:17.100
     22  917.120   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09865    1.68841  358.66267    0.00181    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6850122  39.9475944 0 00:15:17.120
     23  917.140   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09865    1.68840  358.66267    0.00177    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6850183  39.9475946 0 00:15:17.140
     24  917.160   13.65  -43.16   13.16   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09865    1.68840  358.66266    0.00173    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.8    355.0   42.6850243  39.9475948 0 00:15:17.160
     25  917.180   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09866    1.68839  358.66266    0.00169    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850303  39.9475950 0 00:15:17.180
     26  917.200   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09866    1.68839  358.66265    0.00165    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850363  39.9475952 0 00:15:17.200
     27  917.220   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09866    1.68838  358.66264    0.00161    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    355.0   42.6850424  39.9475954 0 00:15:17.220
     28  917.240   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09866    1.68838  358.66264    0.00157    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    355.0   42.6850484  39.9475956 0 00:15:17.240
     29  917.260   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09867    1.68837  358.66263    0.00153    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    355.0   42.6850544  39.9475958 0 00:15:17.260
     30  917.280   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09867    1.68837  358.66263    0.00149    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6850604  39.9475960 0 00:15:17.280
     31  917.300   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09867    1.68836  358.66262    0.00145    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6850665  39.9475962 0 00:15:17.300
     32  917.320   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09867    1.68835  358.66262    0.00141    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850725  39.9475964 0 00:15:17.320
     33  917.340   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09867    1.68834  358.66261    0.00136    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850785  39.9475965 0 00:15:17.340
     34  917.360   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68834  358.66261    0.00132    1.682    2.633    0.013    0.000    0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850845  39.9475967 0 00:15:17.360
     35  917.380   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68833  358.66260    0.00128    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.7    354.9   42.6850906  39.9475969 0 00:15:17.380
     36  917.400   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68832  358.66259    0.00124    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6850966  39.9475971 0 00:15:17.400
     37  917.420   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68831  358.66259    0.00120    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6851026  39.9475973 0 00:15:17.420
     38  917.440   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68830  358.66258    0.00115    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6851086  39.9475975 0 00:15:17.440
     39  917.460   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68829  358.66258    0.00111    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.4   9682.6    354.9   42.6851146  39.9475977 0 00:15:17.460
     40  917.480   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68828  358.66257    0.00107    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.3   9682.6    354.9   42.6851207  39.9475979 0 00:15:17.480
     41  917.500   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68827  358.66257    0.00103    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851267  39.9475981 0 00:15:17.500
     42  917.520   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68826  358.66256    0.00098    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851327  39.9475983 0 00:15:17.520
